Datum,  FX,  FM, RSK,RSKF, SDK,SHK_TAG,  NM, VPM,  PM, TMK, UPM, TXK, TNK, TGK
1997-11-01,8.43,3.393333333333333,0.5166666666666667,4.1,1.85,0.0,6.433333333333334,6.96,1007.5,3.92,83.8,6.166666666666667,1.2866666666666666,0.2433333333333333
1997-12-01,9.63225806451613,3.967741935483871,2.15483870967742,5.967741935483871,1.219354838709677,0.0,6.32258064516129,6.661290322580645,1007.532258064516,2.264516129032258,87.64516129032258,4.393548387096774,0.0419354838709677,-0.7903225806451613
1998-01-01,11.151612903225804,4.245161290322581,1.780645161290323,5.483870967741935,2.061290322580645,0.6129032258064516,5.741935483870968,6.680645161290323,1010.0064516129032,3.1903225806451614,83.29032258064517,5.948387096774193,0.6,-0.8709677419354838
1998-02-01,12.325,5.121428571428572,0.4178571428571428,4.785714285714286,2.503571428571429,0.2857142857142857,6.235714285714286,7.464285714285714,1015.1678571428572,6.142857142857143,75.0,8.871428571428572,3.15,2.0285714285714285
1998-03-01,12.470967741935484,4.6,1.9193548387096773,4.709677419354839,3.867741935483872,0.064516129032258,5.04516129032258,6.52258064516129,1013.267741935484,5.174193548387097,71.2258064516129,8.941935483870967,1.3709677419354838,-0.5193548387096775
1998-04-01,10.38,3.44,1.0166666666666666,4.8,4.533333333333333,0.0,5.77,9.486666666666668,999.6666666666666,10.873333333333331,72.56666666666666,14.686666666666667,6.48,4.1066666666666665
1998-05-01,10.66451612903226,3.3774193548387097,1.2064516129032257,3.3548387096774195,7.735483870967743,0.0,4.590322580645162,11.261290322580646,1009.5129032258066,15.774193548387096,62.70967741935484,20.851612903225806,10.003225806451614,6.429032258064517
1998-06-01,10.436666666666666,3.2133333333333334,2.553333333333333,5.0,6.223333333333333,0.0,5.226666666666668,14.563333333333333,1008.6866666666666,17.93,70.6,22.736666666666668,13.61,11.24
1998-07-01,11.993548387096777,3.97741935483871,1.9806451612903224,4.451612903225806,6.183870967741935,0.0,5.225806451612903,14.02258064516129,1005.3,17.94193548387097,68.64516129032258,22.345161290322583,13.474193548387095,11.390322580645162
1998-08-01,11.580645161290322,3.9935483870967743,2.164516129032258,4.258064516129032,6.203225806451614,0.0,4.9,13.258064516129032,1009.5096774193548,17.638709677419353,67.09677419354838,22.79032258064516,13.348387096774196,11.27741935483871
1998-09-01,8.223333333333333,3.0866666666666664,1.19,3.4,3.51,0.0,5.493333333333334,13.73,1006.2233333333334,14.433333333333334,82.53333333333333,18.076666666666664,10.823333333333332,8.953333333333335
1998-10-01,13.248387096774191,5.351612903225806,3.5387096774193547,5.548387096774194,2.0806451612903225,0.0,6.141935483870968,9.558064516129033,1004.8967741935484,8.929032258064517,82.06451612903226,12.093548387096773,6.229032258064516,5.338709677419355
1998-11-01,9.066666666666666,3.78,1.3233333333333337,6.233333333333333,1.12,0.1333333333333333,6.326666666666667,6.306666666666667,1011.94,1.6966666666666663,87.8,3.7266666666666666,-0.36,-1.5466666666666666
1998-12-01,11.25483870967742,4.767741935483872,1.2741935483870968,5.483870967741935,1.6806451612903226,1.935483870967742,5.990322580645161,6.0,1012.8096774193548,0.9806451612903224,86.16129032258064,3.261290322580645,-1.4967741935483871,-2.593548387096774
1999-01-01,10.270967741935484,4.148387096774194,1.1387096774193548,4.806451612903226,1.9,0.4838709677419355,5.970967741935484,6.625806451612903,1007.7290322580644,3.238709677419355,83.2258064516129,5.951612903225806,0.4193548387096774,-0.8935483870967742
1999-02-01,12.25357142857143,5.253571428571428,2.2357142857142858,6.678571428571429,2.1821428571428574,3.107142857142857,6.253571428571428,5.953571428571428,1004.45,1.6,85.35714285714286,4.007142857142857,-1.4392857142857145,-2.982142857142857
1999-03-01,9.922580645161291,3.7483870967741937,1.525806451612903,4.290322580645161,3.6387096774193552,0.0,5.761290322580645,7.264516129032257,1006.4064516129032,5.732258064516128,78.35483870967742,9.7,2.1,-0.2387096774193548
1999-04-01,10.83,3.88,1.2633333333333332,3.933333333333333,5.6466666666666665,0.0,4.906666666666666,8.953333333333335,1007.58,10.416666666666666,70.53333333333333,15.103333333333332,5.793333333333334,2.7
1999-05-01,11.425806451612903,3.706451612903226,0.8612903225806453,2.7096774193548385,8.306451612903226,0.0,4.574193548387097,10.390322580645162,1011.2935483870968,14.870967741935484,61.0,19.864516129032257,9.109677419354838,5.829032258064516
1999-06-01,9.923333333333334,3.31,1.5,4.6,6.48,0.0,4.85,12.943333333333332,1011.88,17.206666666666667,66.03333333333333,21.80333333333333,12.133333333333333,8.186666666666666
1999-07-01,10.925806451612903,3.758064516129033,0.8580645161290323,3.4838709677419355,8.570967741935483,0.0,4.380645161290323,14.729032258064516,1010.7935483870968,21.42903225806452,58.64516129032258,26.62903225806452,15.929032258064517,13.041935483870969
1999-08-01,10.838709677419354,3.6225806451612894,1.3516129032258064,3.290322580645161,6.493548387096775,0.0,4.396774193548388,13.180645161290323,1007.9870967741934,19.13870967741936,60.70967741935484,24.351612903225806,13.748387096774191,10.383870967741936
