ID,Jahr,Monatscode,Monat,Gastro_Id,Gastro_Description,Umsatz in millionen
302,1996,MONAT04,April,WZ08-56,Gastronomie,163.6
303,1996,MONAT04,April,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",171.4
304,1996,MONAT04,April,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,92.6
305,1996,MONAT04,April,WZ08-563,Ausschank von Getränken,242.7
306,1996,MONAT04,April,WZ08-561-01,Gaststättengewerbe,181.2
307,1996,MONAT04,April,WZ08-55-01,Gastgewerbe,142.7
308,1996,MONAT05,Mai,WZ08-55,Beherbergung,132.8
309,1996,MONAT05,Mai,WZ08-551,"Hotels, Gasthöfe und Pensionen",131.8
310,1996,MONAT05,Mai,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,156.0
311,1996,MONAT05,Mai,WZ08-553,Campingplätze,79.3
312,1996,MONAT05,Mai,WZ08-559,Sonstige Beherbergungsstätten,188.8
313,1996,MONAT05,Mai,WZ08-56,Gastronomie,174.1
314,1996,MONAT05,Mai,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",183.8
315,1996,MONAT05,Mai,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,97.4
316,1996,MONAT05,Mai,WZ08-563,Ausschank von Getränken,252.2
317,1996,MONAT05,Mai,WZ08-561-01,Gaststättengewerbe,193.2
318,1996,MONAT05,Mai,WZ08-55-01,Gastgewerbe,157.5
319,1996,MONAT06,Juni,WZ08-55,Beherbergung,127.3
320,1996,MONAT06,Juni,WZ08-551,"Hotels, Gasthöfe und Pensionen",124.4
321,1996,MONAT06,Juni,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,182.1
322,1996,MONAT06,Juni,WZ08-553,Campingplätze,76.2
323,1996,MONAT06,Juni,WZ08-559,Sonstige Beherbergungsstätten,221.1
324,1996,MONAT06,Juni,WZ08-56,Gastronomie,167.1
325,1996,MONAT06,Juni,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",176.4
326,1996,MONAT06,Juni,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,96.5
327,1996,MONAT06,Juni,WZ08-563,Ausschank von Getränken,236.8
328,1996,MONAT06,Juni,WZ08-561-01,Gaststättengewerbe,184.8
329,1996,MONAT06,Juni,WZ08-55-01,Gastgewerbe,151.0
330,1996,MONAT07,Juli,WZ08-55,Beherbergung,118.8
331,1996,MONAT07,Juli,WZ08-551,"Hotels, Gasthöfe und Pensionen",113.7
