name,latitude,longitude,geometry,Bundesland,Regierungsbezirk,Kreis,Typ
Ferienanlage Achtern Diek,54.09574019999999,9.0092026,POINT (9.0092026 54.09574019999999),Schleswig-Holstein,Schleswig-Holstein,Dithmarschen,Landkreise
Wohnmobilstellplatz,53.9241985,9.3731383,POINT (9.3731383 53.9241985),Schleswig-Holstein,Schleswig-Holstein,Steinburg,Landkreise
Bootsmann - Lokal Camping Lodge,54.21517,9.53204,POINT (9.53204 54.21517),Schleswig-Holstein,Schleswig-Holstein,Rendsburg-Eckernförde,Landkreise
Elbdeich-Camping Kollmar,53.7236118,9.5021439,POINT (9.5021439 53.7236118),Schleswig-Holstein,Schleswig-Holstein,Steinburg,Landkreise
Johann Drathen,53.72406,9.50346,POINT (9.50346 53.72406),Schleswig-Holstein,Schleswig-Holstein,Steinburg,Landkreise
Fährhaus Hodorf,53.8959406,9.4334041,POINT (9.4334041 53.8959406),Schleswig-Holstein,Schleswig-Holstein,Steinburg,Landkreise
Campingplatz Klein-Westerland,54.03012709999999,9.2980317,POINT (9.2980317 54.03012709999999),Schleswig-Holstein,Schleswig-Holstein,Dithmarschen,Landkreise
Campingplatz Vogelzunge,53.8996343,9.825696999999998,POINT (9.825696999999998 53.8996343),Schleswig-Holstein,Schleswig-Holstein,Segeberg,Landkreise
Campingplatz Roland,53.9285947,9.8899573,POINT (9.8899573 53.9285947),Schleswig-Holstein,Schleswig-Holstein,Segeberg,Landkreise
Pitch Aunt Henni,53.6912368,9.9269561,POINT (9.9269561 53.6912368),Schleswig-Holstein,Schleswig-Holstein,Pinneberg,Landkreise
FKK - Sportgemeinschaft Hamburg e.V.,53.70992469999999,10.1730888,POINT (10.1730888 53.70992469999999),Schleswig-Holstein,Schleswig-Holstein,Stormarn,Landkreise
Campingplatz Itzstedt,53.812857,10.1653636,POINT (10.1653636 53.812857),Schleswig-Holstein,Schleswig-Holstein,Segeberg,Landkreise
Camping Bredenbeker pond,53.68084069999999,10.1909611,POINT (10.1909611 53.68084069999999),Schleswig-Holstein,Schleswig-Holstein,Stormarn,Landkreise
Wibo Zeltlager,53.9171041,10.233152,POINT (10.233152 53.9171041),Schleswig-Holstein,Schleswig-Holstein,Segeberg,Landkreise
Familien Campingplatz Forellensee,54.0463464,9.9239227,POINT (9.9239227 54.0463464),Schleswig-Holstein,Schleswig-Holstein,Rendsburg-Eckernförde,Landkreise
Wohnmobil Stellplatz,54.0824115,9.961208,POINT (9.961208 54.0824115),Schleswig-Holstein,Schleswig-Holstein,Neumünster Städte,Kreisfreie Städte
Ralfs Wohnmobilgruppen,53.89917999999999,10.3540901,POINT (10.3540901 53.89917999999999),Schleswig-Holstein,Schleswig-Holstein,Segeberg,Landkreise
Frehse Kai Camping Ferienglück,54.0401393,10.7486773,POINT (10.7486773 54.0401393),Schleswig-Holstein,Schleswig-Holstein,Ostholstein,Landkreise
Camping Travemünde - Ivendorf,53.94196369999999,10.8441127,POINT (10.8441127 53.94196369999999),Schleswig-Holstein,Schleswig-Holstein,Lübeck Städte,Kreisfreie Städte
Camping am See Inh. Claus-Peter Horstmann,54.04879049999999,10.458275,POINT (10.458275 54.04879049999999),Schleswig-Holstein,Schleswig-Holstein,Segeberg,Landkreise
Campingplatz Schierhorn,53.6642539,10.6647299,POINT (10.6647299 53.6642539),Schleswig-Holstein,Schleswig-Holstein,Lauenburg,Landkreise
Camping Beautiful view,53.70799599999999,10.767187,POINT (10.767187 53.70799599999999),Schleswig-Holstein,Schleswig-Holstein,Lauenburg,Landkreise
Ostseecamping Ferienpark Zierow KG,53.93475,11.37196,POINT (11.37196 53.93475),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Nordwestmecklenburg,Landkreise
Regenbogen Boltenhagen,53.9806889,11.2163094,POINT (11.2163094 53.9806889),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Nordwestmecklenburg,Landkreise
Touristik GmbH Liebeslaube Gramkow,53.93076310000001,11.2888374,POINT (11.2888374 53.93076310000001),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Nordwestmecklenburg,Landkreise
Campingplatz Ostseequelle GmbH,53.9290506,11.2704203,POINT (11.2704203 53.9290506),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Nordwestmecklenburg,Landkreise
Camping Porta del Sol,54.1632948,10.9998841,POINT (10.9998841 54.1632948),Schleswig-Holstein,Schleswig-Holstein,Ostholstein,Landkreise
Neues Mitglieder Erholungsheim e.V.,53.9533745,10.8888523,POINT (10.8888523 53.9533745),Schleswig-Holstein,Schleswig-Holstein,Lübeck Städte,Kreisfreie Städte
Womohafen Scharbeutzer Strand,54.0311342,10.7520425,POINT (10.7520425 54.0311342),Schleswig-Holstein,Schleswig-Holstein,Ostholstein,Landkreise
Baltic beach camping Scharbeutz GmbH,54.0353433,10.7471694,POINT (10.7471694 54.0353433),Schleswig-Holstein,Schleswig-Holstein,Ostholstein,Landkreise
Campingplatz Seepferdchen,54.0344551,10.741459,POINT (10.741459 54.0344551),Schleswig-Holstein,Schleswig-Holstein,Ostholstein,Landkreise
Campingpark Kühlungsborn - topcamping,54.15117309999999,11.7199565,POINT (11.7199565 54.15117309999999),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Bad Doberan,Landkreise
Camping Ostsee - Campingpark Rerik,54.1122281,11.6326126,POINT (11.6326126 54.1122281),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Bad Doberan,Landkreise
Caravan Krassow,53.8742058,11.5655284,POINT (11.5655284 53.8742058),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Nordwestmecklenburg,Landkreise
See-Camping Neukloster - OHI GmbH,53.8641717,11.6966867,POINT (11.6966867 53.8641717),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Nordwestmecklenburg,Landkreise
Kanu Camp Hennig - Familie Hennig,53.7371105,11.8346914,POINT (11.8346914 53.7371105),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Parchim,Landkreise
Campingtour - MV - GmbH,54.03807390000001,11.5843065,POINT (11.5843065 54.03807390000001),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Bad Doberan,Landkreise
Kanu Camp Westphal,53.8529336,11.982483,POINT (11.982483 53.8529336),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Güstrow,Landkreise
Canoe Club Bützow 52 e.V.,53.8528212,11.9801666,POINT (11.9801666 53.8528212),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Güstrow,Landkreise
Ferien-Camp Börgerende,54.1524866,11.9002147,POINT (11.9002147 54.1524866),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Bad Doberan,Landkreise
Caravanplatz am Tier Park,53.7922954,12.2151441,POINT (12.2151441 53.7922954),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Güstrow,Landkreise
Campingplatz am Krakower See,53.67035319999999,12.2741152,POINT (12.2741152 53.67035319999999),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Güstrow,Landkreise
