campingsplatzname,left,right,geometry,Bundesland,Regierungsbezirk,Kreis,Typ,stations_id,distance_km
Campingplatz Hirtenteich,48.78662,9.980709,POINT (1111047.4436358425 6238732.52523659),Baden-Württemberg,Stuttgart,Ostalbkreis,Landkreise,3927,163.31
Campingplatz Häsle,48.9877239,10.2272877,POINT (1138496.45896031 6272778.6533302395),Baden-Württemberg,Stuttgart,Ostalbkreis,Landkreise,5705,137.15
Campingplatz Fuchs Gaststätte Seeschenke,48.98610970000001,10.2179172,POINT (1137453.3396718318 6272504.829284558),Baden-Württemberg,Stuttgart,Ostalbkreis,Landkreise,5705,137.2
Campingplatz Ringlesmühle - Sigrid Vierkorn,48.82593989999999,10.410545,POINT (1158896.5682804603 6245378.478956751),Baden-Württemberg,Stuttgart,Ostalbkreis,Landkreise,5705,168.93
Naturcamping Braunsbach,49.1967897,9.7916639,POINT (1090003.039366879 6308318.6945779305),Baden-Württemberg,Stuttgart,Schwäbisch Hall,Landkreise,5705,100.01
Waldcamping Hüttenhof,48.97343710000001,10.0276478,POINT (1116272.64695029 6270355.426938476),Baden-Württemberg,Stuttgart,Ostalbkreis,Landkreise,5705,136.48
Campsite Am Steinbacher See,49.097299,9.7422775,POINT (1084505.3704667662 6291387.153651669),Baden-Württemberg,Stuttgart,Schwäbisch Hall,Landkreise,5705,117.69
Yezzt: Canoe Center Active mill,48.89150410000001,10.9998483,POINT (1224497.511559256 6256471.920892724),Bayern,Mittelfranken,Weißenburg-Gunzenhausen,Landkreise,5705,189.74
Sea Center Muhr am See,49.14402279999999,10.7250312,POINT (1193905.0119259718 6299334.476492637),Bayern,Mittelfranken,Weißenburg-Gunzenhausen,Landkreise,5705,137.13
Zeltplatz Hammermühle,48.8740142,11.03111,POINT (1227977.548084588 6253511.213843766),Bayern,Oberbayern,Eichstätt,Landkreise,5705,194.21
Camping Sonneneck on Haselbachsee,48.9867016,10.2171667,POINT (1137369.7943939914 6272605.2349282615),Baden-Württemberg,Stuttgart,Ostalbkreis,Landkreise,5705,137.08
"Campingplatz ""Fischer-Michl"" | Gunzenhausen",49.1243291,10.7172367,POINT (1193037.3321549837 6295983.831947582),Bayern,Mittelfranken,Weißenburg-Gunzenhausen,Landkreise,5705,139.24
Amalienhof,48.7495477,10.0010025,POINT (1113306.505722256 6232471.234546514),Baden-Württemberg,Stuttgart,Ostalbkreis,Landkreise,3927,158.93
Campingplatz Hasenmühle,48.9719566,10.7262827,POINT (1194044.3282686996 6270104.354669794),Bayern,Mittelfranken,Weißenburg-Gunzenhausen,Landkreise,5705,161.1
"Hotel, Restaurant & Camping ""Bauer Keller"" Greding",49.04046,11.35082,POINT (1263567.5024861055 6281729.400022169),Bayern,Mittelfranken,Roth,Landkreise,5705,199.12
AZUR Waldcamping on Auwaldsee (Ingolstadt),48.75362800000001,11.463718,POINT (1276135.2503576844 6233160.146590091),Bayern,Oberbayern,Ingolstadt Städte,Kreisfreie Städte,5792,228.4
