Jahr,Monat,Unternehmen_Id,Unternehmensbeschreibung,Umsatz in millionen
1996,10,WZ08-563,Ausschank von Getränken,249.5
1996,10,WZ08-561-01,Gaststättengewerbe,184.7
1996,10,WZ08-55-01,Gastgewerbe,154.1
1996,11,WZ08-55,Beherbergung,103.0
1996,11,WZ08-551,"Hotels, Gasthöfe und Pensionen",105.1
1996,11,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,81.1
1996,11,WZ08-553,Campingplätze,37.9
1996,11,WZ08-559,Sonstige Beherbergungsstätten,74.2
1996,11,WZ08-56,Gastronomie,153.6
1996,11,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",157.7
1996,11,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,99.4
1996,11,WZ08-563,Ausschank von Getränken,224.5
1996,11,WZ08-561-01,Gaststättengewerbe,167.0
1996,11,WZ08-55-01,Gastgewerbe,133.0
1996,12,WZ08-55,Beherbergung,104.9
1996,12,WZ08-551,"Hotels, Gasthöfe und Pensionen",106.3
1996,12,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,91.2
1996,12,WZ08-553,Campingplätze,38.9
1996,12,WZ08-559,Sonstige Beherbergungsstätten,105.9
1996,12,WZ08-56,Gastronomie,166.1
1996,12,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",174.6
1996,12,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,92.8
1996,12,WZ08-563,Ausschank von Getränken,245.8
1996,12,WZ08-561-01,Gaststättengewerbe,184.5
1996,12,WZ08-55-01,Gastgewerbe,141.1
1997,1,WZ08-55,Beherbergung,88.3
1997,1,WZ08-551,"Hotels, Gasthöfe und Pensionen",88.3
1997,1,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,89.5
1997,1,WZ08-553,Campingplätze,66.9
1997,1,WZ08-559,Sonstige Beherbergungsstätten,94.9
1997,1,WZ08-56,Gastronomie,138.6
1997,1,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",141.3
1997,1,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,92.7
1997,1,WZ08-563,Ausschank von Getränken,204.2
1997,1,WZ08-561-01,Gaststättengewerbe,150.2
1997,1,WZ08-55-01,Gastgewerbe,118.2
1997,2,WZ08-55,Beherbergung,89.8
1997,2,WZ08-551,"Hotels, Gasthöfe und Pensionen",89.9
1997,2,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,92.3
1997,2,WZ08-553,Campingplätze,58.1
1997,2,WZ08-559,Sonstige Beherbergungsstätten,95.4
1997,2,WZ08-56,Gastronomie,138.3
1997,2,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",140.8
1997,2,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,89.8
1997,2,WZ08-563,Ausschank von Getränken,209.3
1997,2,WZ08-561-01,Gaststättengewerbe,150.4
1997,2,WZ08-55-01,Gastgewerbe,118.5
1997,3,WZ08-55,Beherbergung,104.5
1997,3,WZ08-551,"Hotels, Gasthöfe und Pensionen",104.6
1997,3,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,110.1
1997,3,WZ08-553,Campingplätze,66.8
1997,3,WZ08-559,Sonstige Beherbergungsstätten,113.2
1997,3,WZ08-56,Gastronomie,156.9
1997,3,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",163.4
1997,3,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,96.1
1997,3,WZ08-563,Ausschank von Getränken,225.1
1997,3,WZ08-561-01,Gaststättengewerbe,171.9
1997,3,WZ08-55-01,Gastgewerbe,135.6
