name,latitude,longitude
Jugendzeltplatz Wachenbachtal,49.9288253,9.1937404
Jugendzeltplatz - freiRaum Rosenberg,50.0000072,9.1300855
Trekkingzeltplatz Lahnwiese,50.0739105,9.3017364
Kinder- und Jugendferiendorf Ober-Seemen,50.441041,9.2414412
Ferienzentrum Albert Schweitzer,51.1721395,8.9385325
Camping Zur Fähre,51.1819321,9.0139135
Kanu Club Warburg,51.4885805,9.1657039
Jugendzeltplatz,51.3580247,8.7226083
"Campingplatz ""Seehof Knust""",51.3726061,8.7060914
Rhenequelle bei Schweinsbühl,51.304653,8.767307
Waldkante bei Wirmighausen,51.3475233,8.8118961
St. Muffert bei Heringhausen,51.371958,8.736014
Schutzhütte Stormbruch,51.350732,8.681391
Bockelau bei Eimelrod,51.3015729,8.7121564
Niegelscheid bei Ottlar,51.320842,8.701915
Trekkingplatz Läuseküppel,51.2552493,9.2636647
Trekkingplatz Firnsbachtal,51.2937337,9.3682519
Senneriffa,51.9288929,8.6789116
Campingplatz in der Gaußstraße 6a,52.1029165,8.6841886
WSC Porta,52.2045838,8.8578013
Camping am Weserangerbad,52.1927441,9.0861287
Bannsee,52.5085326,9.323863
Wassersportverein Verden e.V.,52.9125117,9.2288178
Hofbruhuus Heidhoff,52.7560355,8.9078683
Campingplatz Eikhöfe,53.0830009,9.1760389
Heidehof,53.1314663,9.1587513
Campingplatz Meyer,53.2668842,8.9198154
Silbersee,53.4927377,8.8100735
Trekkingplatz Gieselautal/Albersdorf,54.133201,9.2918046
Übernachtungsplatz Sankt Michaelisdonn,53.9716627,9.1367856
Übernachtungsplatz Kuden,53.9669843,9.202947
Hohner Fähre,54.2859441,9.3983914
Trekkingplatz Drage,54.3583008,9.1574022
Trekkingplatz Hattstedt,54.5118239,9.0344792
1nitetent Übernachtungsplatz 254,54.3526325,9.2100212
Nord-Ostsee Camp,54.5118465,9.3593846
Trekkingplatz Eiderstedt,54.4140447,9.0270771
Übernachtungsplatz Enge-Sande,54.7315217,8.974479
Übernachtungsplatz Süderlügum,54.860461,8.9530025
Gruppenunterkunft Kesselberghaus,48.1018003,8.2813379
Zeltlagerplatz Stöcklewald,48.0883517,8.249286
Trekking-Camp Göschweiler,47.8524874,8.3023237
Schwarzwald-Camp,47.8204517,8.1632028
Naturist Schwarzwald,48.0767488,8.5331714
Jugend-Zeltplatz Eschachtal,48.1368422,8.6104041
Trekking Bruderhof,47.8531979,8.4472242
Trekking-Camp Windberg,47.7660393,8.1448096
Trekking-Camp Steinbruch,47.8198844,8.065263
Trekking Stallegg,47.8565153,8.2915389
Schlafen im Stroh,47.8372146,8.501373
Trekking-Camp Elzhof,48.1226791,8.1895595
Trekking-Camp Königsfeld,48.1323565,8.4126143
Zum Katzenwinkel,48.0028788,8.3241217
Hilserhof,48.1526041,8.2659429
Trekking-Camp Loßburg,48.4208334,8.4226793
TrekkingCamp Himmelsterrassen,48.4197572,8.2361443
Trekking-Camp Herrenwald,48.1590665,8.1720629
Trekking-Camp Fischbach,48.1460929,8.1523213
Trekking Pfalz: Kalmit,49.3150057,8.0821462
Hockenheimring Campingplatz C2,49.3283284,8.5636208
Hockenheimring Campingplatz C3,49.3239537,8.5629607
Trekking Pfalz: Heldenstein,49.2940542,8.0207652
Camping Speyer,49.3374437,8.4438136
Campingplatz am Tamburinsee,49.6872607,8.4017283
Freizeitzone Riedsee,49.8614271,8.4256707
Rettbergsaue Schierstein,50.0361903,8.2062446
Jugendzeltplatz,50.4802586,8.2649217
Altes Kurhaus,50.5806505,8.0330936
Campingplatz an der Krombachtalsperre,50.6158879,8.1408853
Zum Katzenstein,50.5608565,7.9987302
Tipidorf Outdoor Zentrum Lahntal,50.5581774,8.2852913
Männerbadeverein Gießen,50.6072833,8.6692563
Biwakplatz an der Ruipes-Ropes-Hütte,51.2174049,8.568356
Schwalenburg bei Schwalefeld,51.3196193,8.6275642
Ritzhagen bei Willingen,51.296467,8.592242
Büller Höhe bei Usseln,51.278716,8.673929
Wiggeshoff Camping,51.4678291,8.2409657
Trekkingplatz Himmelsnah,51.375715,8.5705127
Trekkingplatz Buttenberg,51.3658598,8.6555379
Trekkingplatz Feuereiche,51.3323541,8.5665162
Jugendzeltplatz,51.8666357,8.6506817
Campingpark Heidekamp,52.0019824,8.1005979
Campingplatz,52.1098353,8.3342732
Campingplatz Kronensse,52.3719445,8.2295871
